,Date,User,Tweet
5964,2022-09-07 12:12:42+00:00,standardsport,"""A host of players had begun to question his decisions and behaviour behind the scenes.""

@NizaarKinsella explains why Chelsea made the shock call to sack Thomas Tuchel.

 https://t.co/ykc0Bjbd1y"
5965,2022-09-07 12:12:40+00:00,Pulisic_SZN,I dont even have the motivation now man. Chelsea killed that. How do you sack Tuchel. So angry
5966,2022-09-07 12:12:27+00:00,BryanFuryTkn3,@ManUtd @AnthonyMartial @Cristiano Sack tenhag and appoint #Tuchel right now...😂😂😂
5967,2022-09-07 12:12:15+00:00,LabiaMinoria,"I dunno if Tuchel thought he was untouchable, Chelsea signed Mourinho sacked him and re-sign him only to sack him again , Chelsea sacked Lampard , a legend of the club. We thank you Tuchel but the way you play lately was a huge eye sore ! #UCL https://t.co/PVerg9MzIj"
5968,2022-09-07 12:12:13+00:00,JP_chinonso,If Chelsea can Sack Morinho and Conte who's Tuchel. #TuchelOut #Tuchel #Chelsea
5969,2022-09-07 12:12:11+00:00,Ikhwanhadi20,masih belum percaya yg tuchel kena sack
5970,2022-09-07 12:12:01+00:00,EMPIREPRMAN,"Chelsea sack Tuchel after rocky start to season
https://t.co/YuOhjoT8v4"
5971,2022-09-07 12:12:00+00:00,toni_Rudiger5,@FancyDiMaria_ @SilverfmGH @SilverSportsGh_ @FancyPageGh #SportsCenter We the Chelsea fans are disheartened to hear the sack of Tuchel but we are the blues regardless. We ll bounce back stronger #SportsCenter
5972,2022-09-07 12:11:57+00:00,lqmnrshd,bagi la MU bantai chelsea dulu baru sack Tuchel aduhh tak reti la board chelsea ni https://t.co/1h0QNrOzJd
5973,2022-09-07 12:11:55+00:00,gregg_wallis,"@Blue_Footy Hate the decision to sack tuchel but got to give it to the new owners, they move quick"
5974,2022-09-07 12:11:47+00:00,ama_kodesh,Chelsea sack Tuchel anaaa???
5975,2022-09-07 12:11:40+00:00,ModzzGG,Spot on to sack Tuchel. Performances &amp; results no where near good enough. All you lot crying need to grow up. You can’t spend 250 million and be this bad. All the moaning after each game when it’s his job to get the best out the players.
5976,2022-09-07 12:11:33+00:00,_FatJoeyBrullet,@ellis_platten Did you hack Chelsea and sack tuchel as a video?
5977,2022-09-07 12:11:32+00:00,JAHANPANAHHH,Chelsea really spent nearly £300 million on the players that Tuchel wanted only to sack him in September. Madness.
5978,2022-09-07 12:11:32+00:00,bethelblaq,@Psalm_ocean @phylum_k @Tunnykvng We play his style of play in the pitch he was sack because of bad performance in the pitch. We can buy the whole players and would still not do well under tuchel. He isn’t klopp or pep rest
5979,2022-09-07 12:11:16+00:00,ssygala,"@tnadah As innn nnnnnnn, I'm in shock. Who the f** sacks Tuchel."
5980,2022-09-07 12:11:16+00:00,David_Educator,Is not getting a midfielder a sack-able offense for Tuchel?
5981,2022-09-07 12:11:12+00:00,evilbluebird,Chelsea sack Tuchel - reaction with David Ornstein https://t.co/GbU4AUbimq via @NewsNowUK
5982,2022-09-07 12:11:09+00:00,DeanOnuoha,"@KelvinM71411492 @FrankKhalidUK Tuchel is anot a good manager… If you know how much invested on the club since Tuchel came in, then you shouldn’t be saying this. He lost it with everybody and the best thing is to sack him now. That American 🇺🇸 is so so intelligent. I mean kudos to whoever suggested this sack.."
5983,2022-09-07 12:11:08+00:00,UjahInnocent,"But the football community {club management, fans, journalists and players} don't have patience for managers anymore. You can't expect a manager to be at the peak all the time. Just a few bad games and you're calling for the sack of Tuchel. That's absurd."
5984,2022-09-07 12:11:07+00:00,Clientapparial,"@ChelseaFC Chelsea New bored did not treat Tuchel kindly... You distract a couch with the responsibility of being a sporting director for a month, only to sack him early in the season, why not sack him at the end of the season and allow new coach to buy his own preferred players"
5985,2022-09-07 12:11:03+00:00,anjaan_vyakti,"Why tf would you sack Tuchel?????
Sack Mattia."
5986,2022-09-07 12:11:01+00:00,PostKashi,Premier League: Chelsea SACKS coach Thomas Tuchel after poor start to season https://t.co/M3ZnxJ2SZ0
5987,2022-09-07 12:10:55+00:00,Victor_HF_,"The last weeks' performances have been uninspiring and it ultimately ended with a sack for Mr. Thomas Tuchel.

It ia part of the job. Especially when you prioritize winning in the short-term.

It was a good ride!"
5988,2022-09-07 12:10:50+00:00,Fhrancees2,"Chelsea sack manager Thomas Tuchel.
#chelsea
#Tuchel https://t.co/6fi7uq6uXg"
5989,2022-09-07 12:10:49+00:00,ZXLTRXN6BILLION,"It really makes no sense to sack Tuchel rn but oh well, watching the games was hell he had nothing going for us"
5990,2022-09-07 12:10:47+00:00,IcyChandor,"@CFCDaily I actually called for Tuchel's sack yesterday but that was in the heat if the moment.

I didn't really want Super Tommy Tuchel to go😩💔💔"
5991,2022-09-07 12:10:45+00:00,brook_ai,We cleared all that deadwood for us to sign new players for tuchel to sack him and hire a new manager to use these players which might not be the manager's choice
5992,2022-09-07 12:10:39+00:00,Chidosk21,"Thomas Tuchel's sacking is set to cost Chelsea a total of around £15M, including departures of his backroom staff. Decision to sack was made before defeat to Dinamo Zagreb.

🔗 Mike Keegan - Daily Mail

The new owners are looking at a 5-10 year trajectory. [COURSE OF DEVELOPMENT https://t.co/FMNw6Yb2ku"
5993,2022-09-07 12:10:36+00:00,tomhebbo,@Anthony_1990_ @NorthStandChat Only plus in our favour is tendency of Chelsea to sack managers without hesitation. Tuchel won CL &amp; now look
5994,2022-09-07 12:10:35+00:00,SportzGlobal01,"[David Ornstein] Chelsea decision to sack Thomas Tuchel unrelated to #UCL loss last night - decision had already been made. #CFC hope to appoint replacement quickly, possibly before next game. Nobody waiting in wings; interim staff for next couple of days @TheAthleticUK https://t.co/AMlotaAujT"
5995,2022-09-07 12:10:34+00:00,Elcaballero000,Why would you give him all the money and signings he wants to just sack him a week later 🙄 the signings we’re bad but now another manager is stuck with these players. Saying that tuchel has not been the same since February.  #chelseafc
5996,2022-09-07 12:10:34+00:00,guardianvideo,Chelsea sack Thomas Tuchel as manager – video report https://t.co/G1qXB5W1zc
5997,2022-09-07 12:10:32+00:00,TweetMOPOL,"As critical of Tuchel as I am, this sack was too early and unnecessary at this point"
5998,2022-09-07 12:10:22+00:00,FWPPremLeague,NEWS: Chelsea sack Thomas Tuchel as manager - video report (via Guardian) https://t.co/dukWH2Glox
5999,2022-09-07 12:10:16+00:00,teechelsea1,@poosemart Screenshot me the message and show me where I write tuchel should be sack
6000,2022-09-07 12:10:13+00:00,CFCAman27,"Personally, I'm very divided about this Tuchel sack, he was brilliant tactically but sucked at coaching attacks that didn't have world class forwards(previous examples include at Mainz), his talent id was truly awful."
6001,2022-09-07 12:10:12+00:00,Bat_Chests_,"no way this is the manager you sack LOL, thats an amazing record tuchel. Take ur 👑 my guy https://t.co/KiflPUZ3J1"
6002,2022-09-07 12:10:11+00:00,Naijawhatsup,Chelsea Sack Coach Tuchel https://t.co/YSmlMQ97FD
6003,2022-09-07 12:10:11+00:00,zain_iiii,No way did they sack tuchel holy shit
6004,2022-09-07 12:10:01+00:00,sam_basten,Na Havertz sack Tuchel sha just so we are clear. And he made him too with that UCL final goal
6005,2022-09-07 12:09:59+00:00,AdamsonAbraham,I wish people had smaller egos and Chelsea's decision to sack Tuchel could change 🥲
6006,2022-09-07 12:09:45+00:00,OKSakhile,"If you aren't appointing Pep or Klopp in the Premier League, you can't sack a Tuchel."
6007,2022-09-07 12:09:45+00:00,teechelsea1,@poosemart Say make them sack tuchel or what?
6008,2022-09-07 12:09:38+00:00,JaxxCapital,Chelsea sack manager Thomas Tuchel after 100 days of new ownership https://t.co/78D59pDqzz
6009,2022-09-07 12:09:31+00:00,adheeshp15,"Why the fuck would Todd boehly sack tuchel💀,give him some time,not his fault the club was sanctioned and all the top players and their targets joined barcelona💀💀,didn't give him any time,Chelsea is going back to europa league"
6010,2022-09-07 12:09:27+00:00,MinaeMiroe,"Who is the best replacement for 💙Thomas Tuchel💙 for our beloved club Chelsea FC🦁 ? 

#tuchel #PL #boehly #Aubameyang #Orsic #Zagreb #sack #football #mount #Abramovich #Mourinho #pep #Klopp #coach #KTBFFH #ChampionsLeague #var #taylor #TheBlues #prideoflondon #tactic #trophy"
6011,2022-09-07 12:09:27+00:00,MdrLUHTR,didn’t expect that 08£$£ yank P00hely to sack tuchel that quick loool💀
6012,2022-09-07 12:09:22+00:00,tapiwanashee_zw,@FabrizioRomano The American owners they were quick to sack him…Tuchel wasn’t bad he needed more time to build this team…chelsea management its fucked up now
6013,2022-09-07 12:09:19+00:00,d_perfectpairs,"Sigh!...the sack was so unnecessary for Tuchel,a tactical genius 🤠
#thankyoutuchel"
6014,2022-09-07 12:09:15+00:00,Aviwe_MJ,Scenes when Leicester sack Rogers and sign Tuchel 💀😂
6015,2022-09-07 12:09:11+00:00,LarryVNN,Thomas Tuchel: Chelsea sack manager following Champions League defeat https://t.co/9mw9BLm1On
6016,2022-09-07 12:09:05+00:00,Johnfewz,"@pecos_pest_ @SkySportsNews If Chelsea sacks him in two years or less doesn’t take away anything from him! If he is good, another club will want him! Chelsea have sacked bigger coaches like Mourinho and Ancelotti and Tuchel and it won’t do anything to their CV! He just needs a bigger challenge"
6017,2022-09-07 12:09:04+00:00,elanhub,Chelsea FC Sack Head Coach Thomas Tuchel https://t.co/DjfnCBhjNW
6018,2022-09-07 12:09:04+00:00,YogaJerryEO,"I don't feel sorry for Tuchel, not even a tad bit. He invited the sack, some players became too comfortable with him around, and those that deserved the chance were on bench."
6019,2022-09-07 12:08:59+00:00,chiefhoward__,I don’t care what anyone says but this Tuchel sack will prove to be a huge mistake in the long run
6020,2022-09-07 12:08:56+00:00,shahidb,Tuchel obviously didn’t sanction a single of those signings personally. Maybe Auba. But no way Chelsea sacks him if he signed them. What if gallagher and broja- they are proper stuck till Jan now. They are in the unknown
6021,2022-09-07 12:08:46+00:00,_niceshot_,"Why would anyone want to join Chelsea Fc  if they sack like this. Uttermost disrespect to coaches nowadays because of money.
#Tuchel 
#Chelsea"
6022,2022-09-07 12:08:45+00:00,itsfoluwaso,"Boehly sack Tuchel, you say it doesn't sit well with you.

LMAO... who are you o?"
6023,2022-09-07 12:08:38+00:00,tomidipo,Thanks Tuchel. I never saw his sack coming so soon.
6024,2022-09-07 12:08:19+00:00,snr_maltoni,"@Nee_Gee Chelsea has won less than a half of their last 25 games and you don't call that a bad run ?
@Nee_Gee I think we can agree that Tuchel is a good lad who has had his good times, but he has also made mistakes in the past months which may have influenced the decision to sack him."
6025,2022-09-07 12:08:18+00:00,blueblood_Uzwl,@aymaan_cfc77 @UTDTrey Ur club is L... 🤡I don't know which team sack Tuchel and Appoint Pochettino🥵🤣🤣
6026,2022-09-07 12:08:13+00:00,dmsmile4u,"Chelsea sack Thomas Tuchel, news, latest, next coach, Champions League – Dmaar News https://t.co/4SDphrzdrG"
6027,2022-09-07 12:08:12+00:00,Bat_Chests_,asal chelsea sack tuchel? lol. who's out there that is better than him?? at least wait until the winter transfer or something
6028,2022-09-07 12:08:10+00:00,Vona_gee,"Nah nah nah
This is September mate, way to early to sack and way to early to be discussing manager options
The truth is, anybody that walks in and takes that job looks like a downgrade from Tuchel"
6029,2022-09-07 12:08:09+00:00,enfotainmenthub,"Chelsea sack Thomas Tuchel, news, latest, next coach, Champions League – Dmaar News https://t.co/cL7O5FhkK4"
6030,2022-09-07 12:08:07+00:00,aliladiere,But surprise surprise he agrees that the time had come for Chelsea to sack Tuchel because he’s “not good” and “Arteta has done more in the same time”. Our fans are genuinely the worst.
6031,2022-09-07 12:08:02+00:00,CFC_Dey,Part of me feels like now this was moving behind the scenes. 'Ticks every box for me' lol Terry knew something was cooking and Boehly would sack Tuchel sooner rather than later https://t.co/g3pvzwdQT4
6032,2022-09-07 12:08:00+00:00,teechelsea1,@poosemart Because Na me sack tuchel
6033,2022-09-07 12:07:55+00:00,GarzyJunior,No why say dem sack Thomas Tuchel 🥹🥹💔💔
6034,2022-09-07 12:07:51+00:00,KojoManuel,Why would you sack Tuchel??
6035,2022-09-07 12:07:50+00:00,KellyBrownCKB1,"What a heart break
Thomas tuchel did not deserve this, (sack) https://t.co/nsCAxRwQ68"
6036,2022-09-07 12:07:43+00:00,EyitayoMobolaji,"It was shocking to read Tuchel's sack ! Only to be replaced with Solskjaer !! Just wondering if this is justifiable.
#ChampionsLeague #TuchelOut  #Chelsea https://t.co/wyhqadtkNz"
6037,2022-09-07 12:07:27+00:00,Jiggyboy_4L,Deep down e pain me say Chelsea sack Tuchel sha 😞. Them for wait make we play them first
6038,2022-09-07 12:07:22+00:00,Voicesuit,BREAKING NEWS!! Chelsea Sack Manager Thomas Tuchel https://t.co/0XEsCginma
